央视, #genre#
CCTV1, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.73:1102$河南uni#http://180.110.154.4:10001/rtp/239.49.8.19:9614$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.19:9614$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.19:9614$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.19:9614$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.19:9614$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.129:8008$北京uni#http://123.13.244.212:4000/rtp/225.1.4.73:1102$河南uni#http://121.238.19.42:9999/rtp/239.49.8.19:9614$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.129:8008$北京uni#http://111.193.228.94:4022/rtp/239.3.1.129:8008$北京uni#http://111.196.132.49:20000/rtp/239.3.1.129:8008$北京uni
CCTV2, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.74:1103$河南uni#http://180.110.154.4:10001/rtp/239.49.8.50:9802$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.50:9802$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.50:9802$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.50:9802$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.50:9802$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.60:8084$北京uni#http://123.13.244.212:4000/rtp/225.1.4.74:1103$河南uni#http://121.238.19.42:9999/rtp/239.49.8.50:9802$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.60:8084$北京uni#http://111.193.228.94:4022/rtp/239.3.1.60:8084$北京uni#http://111.196.132.49:20000/rtp/239.3.1.60:8084$北京uni
CCTV3, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.158:1194$河南uni#http://180.110.154.4:10001/rtp/239.49.8.74:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.74:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.74:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.74:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.74:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.172:8001$北京uni#http://123.13.244.212:4000/rtp/225.1.4.158:1194$河南uni#http://121.238.19.42:9999/rtp/239.49.8.74:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.172:8001$北京uni#http://111.193.228.94:4022/rtp/239.3.1.172:8001$北京uni#http://111.196.132.49:20000/rtp/239.3.1.172:8001$北京uni
CCTV4, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.5.30:1333$河南uni#http://180.110.154.4:10001/rtp/239.49.8.51:9806$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.51:9806$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.51:9806$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.51:9806$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.51:9806$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.105:8092$北京uni#http://123.13.244.212:4000/rtp/225.1.5.30:1333$河南uni#http://121.238.19.42:9999/rtp/239.49.8.51:9806$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.105:8092$北京uni#http://111.193.228.94:4022/rtp/239.3.1.105:8092$北京uni#http://111.196.132.49:20000/rtp/239.3.1.105:8092$北京uni
CCTV5, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.159:1195$河南uni#http://124.65.0.99:20000/rtp/239.3.1.173:8001$北京uni#http://123.13.244.212:4000/rtp/225.1.4.159:1195$河南uni#http://114.254.80.240:2222/rtp/239.3.1.173:8001$北京uni#http://111.193.228.94:4022/rtp/239.3.1.173:8001$北京uni#http://111.196.132.49:20000/rtp/239.3.1.173:8001$北京uni
CCTV5+, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.75:1104$河南uni#http://180.110.154.4:10001/rtp/239.49.8.18:9610$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.18:9610$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.18:9610$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.18:9610$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.18:9610$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.130:8004$北京uni#http://123.13.244.212:4000/rtp/225.1.4.75:1104$河南uni#http://121.238.19.42:9999/rtp/239.49.8.18:9610$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.130:8004$北京uni#http://111.193.228.94:4022/rtp/239.3.1.130:8004$北京uni#http://111.196.132.49:20000/rtp/239.3.1.130:8004$北京uni
CCTV6, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.160:1196$河南uni#http://180.110.154.4:10001/rtp/239.49.8.76:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.76:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.76:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.76:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.76:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.174:8001$北京uni#http://123.13.244.212:4000/rtp/225.1.4.160:1196$河南uni#http://121.238.19.42:9999/rtp/239.49.8.76:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.174:8001$北京uni#http://111.193.228.94:4022/rtp/239.3.1.174:8001$北京uni#http://111.196.132.49:20000/rtp/239.3.1.174:8001$北京uni
CCTV7, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.76:1105$河南uni#http://180.110.154.4:10001/rtp/239.49.0.126:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.0.126:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.0.126:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.0.126:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.0.126:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.61:8104$北京uni#http://123.13.244.212:4000/rtp/225.1.4.76:1105$河南uni#http://121.238.19.42:9999/rtp/239.49.0.126:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.61:8104$北京uni#http://111.193.228.94:4022/rtp/239.3.1.61:8104$北京uni#http://111.196.132.49:20000/rtp/239.3.1.61:8104$北京uni
CCTV8, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.161:1197$河南uni#http://180.110.154.4:10001/rtp/239.49.8.77:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.77:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.77:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.77:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.77:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.175:8001$北京uni#http://123.13.244.212:4000/rtp/225.1.4.161:1197$河南uni#http://121.238.19.42:9999/rtp/239.49.8.77:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.175:8001$北京uni#http://111.193.228.94:4022/rtp/239.3.1.175:8001$北京uni#http://111.196.132.49:20000/rtp/239.3.1.175:8001$北京uni
CCTV9, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.77:1106$河南uni#http://180.110.154.4:10001/rtp/239.49.8.53:9814$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.53:9814$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.53:9814$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.53:9814$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.53:9814$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.62:8112$北京uni#http://123.13.244.212:4000/rtp/225.1.4.77:1106$河南uni#http://121.238.19.42:9999/rtp/239.49.8.53:9814$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.62:8112$北京uni#http://111.193.228.94:4022/rtp/239.3.1.62:8112$北京uni#http://111.196.132.49:20000/rtp/239.3.1.62:8112$北京uni
