CCTV1,rtp://239.3.1.129:8008$北京uni
CCTV2,rtp://239.3.1.60:8084$北京uni
CCTV3,rtp://239.3.1.172:8001$北京uni
CCTV4,rtp://239.3.1.105:8092$北京uni
CCTV5,rtp://239.3.1.173:8001$北京uni
CCTV5+,rtp://239.3.1.130:8004$北京uni
CCTV6,rtp://239.3.1.174:8001$北京uni
CCTV7,rtp://239.3.1.61:8104$北京uni
CCTV8,rtp://239.3.1.175:8001$北京uni
CCTV9,rtp://239.3.1.62:8112$北京uni
CCTV10,rtp://239.3.1.63:8116$北京uni
CCTV11,rtp://239.3.1.152:8120$北京uni
CCTV12,rtp://239.3.1.64:8124$北京uni
CCTV13,rtp://239.3.1.124:8128$北京uni
CCTV14,rtp://239.3.1.65:8132$北京uni
CCTV15,rtp://239.3.1.153:8136$北京uni
CCTV16,rtp://239.3.1.184:8001$北京uni
CCTV17,rtp://239.3.1.151:8144$北京uni
CCTV4欧洲,rtp://239.3.1.213:4220$北京uni
CCTV4美洲,rtp://239.3.1.214:4220$北京uni

WA安徽卫视,rtp://239.3.1.211:8064$北京uni
WB北京卫视,rtp://239.3.1.241:8000$北京uni
WD东方卫视,rtp://239.3.1.136:8032$北京uni
WD东南卫视,rtp://239.3.1.156:8148$北京uni
WG广东卫视,rtp://239.3.1.142:8048$北京uni
WG贵州卫视,rtp://239.3.1.149:8076$北京uni
WH河北卫视,rtp://239.3.1.148:8072$北京uni
WH黑龙江卫视,rtp://239.3.1.133:8016$北京uni
WH湖北卫视,rtp://239.3.1.138:8044$北京uni
WH湖南卫视,rtp://239.3.1.132:8012$北京uni
WJ吉林卫视,rtp://239.3.1.240:8172$北京uni
WJ江苏卫视,rtp://239.3.1.135:8028$北京uni
WJ江西卫视,rtp://239.3.1.123:8164$北京uni
WL辽宁卫视,rtp://239.3.1.210:8056$北京uni
WS山东卫视,rtp://239.3.1.209:8052$北京uni
WS深圳卫视,rtp://239.3.1.134:8020$北京uni
WT天津卫视,rtp://239.3.1.141:1234$北京uni
WZ浙江卫视,rtp://239.3.1.137:8036$北京uni
WC重庆卫视,rtp://239.3.1.122:8160$北京uni

Y北京纪实科教,rtp://239.3.1.115:8000$北京uni
Y金鹰纪实,rtp://239.3.1.58:8156$北京uni
Y纪实人文,rtp://239.3.1.212:8060$北京uni
Y魅力足球,rtp://239.3.1.201:8001$北京uni
Y卡酷少儿,rtp://239.3.1.189:8000$北京uni
Y动漫秀场,rtp://239.3.1.202:8001$北京uni
