CCTV1,rtp://239.93.0.184:5140$四川cmc
CCTV2,rtp://239.93.1.23:6000$四川cmc
CCTV3,rtp://239.93.1.11:2223$四川cmc
CCTV4,rtp://239.93.1.105:5140$四川cmc
CCTV5+,rtp://239.93.1.36:8004$四川cmc
CCTV6,rtp://239.93.1.13:2226$四川cmc
CCTV7,rtp://239.93.1.67:5140$四川cmc
CCTV8,rtp://239.93.42.39:5140$四川cmc
CCTV9,rtp://239.93.1.24:5140$四川cmc
CCTV10,rtp://239.93.1.28:5140$四川cmc
CCTV11,rtp://239.93.0.102:5140$四川cmc
CCTV12,rtp://239.93.1.30:8124$四川cmc
CCTV13,rtp://239.93.0.66:5140$四川cmc
CCTV14,rtp://239.93.1.29:6000$四川cmc
CCTV15,rtp://239.93.0.103:5140$四川cmc
CCTV17,rtp://239.93.0.92:5140$四川cmc
CETV1,rtp://239.93.1.111:5140$四川cmc
CF第一剧场,rtp://239.93.1.197:5140$四川cmc
CF高尔夫网球,rtp://239.93.1.54:5140$四川cmc
CF央视文化精品,rtp://239.93.42.47:5140$四川cmc
CF怀旧剧场,rtp://239.93.1.198:5140$四川cmc

WA安徽卫视,rtp://239.93.1.106:5140$四川cmc
WB北京卫视,rtp://239.93.0.180:5140$四川cmc
WD东方卫视,rtp://239.93.0.123:5140$四川cmc
WD东南卫视,rtp://239.93.0.42:5140$四川cmc
WG甘肃卫视,rtp://239.93.0.81:5140$四川cmc
WG广东卫视,rtp://239.93.0.181:5140$四川cmc
WG广西卫视,rtp://239.93.42.46:5140$四川cmc
WG贵州卫视,rtp://239.93.0.131:5140$四川cmc
WH河北卫视,rtp://239.93.0.132:5140$四川cmc
WH河南卫视,rtp://239.93.42.45:5140$四川cmc
WH黑龙江卫视,rtp://239.93.0.183:5140$四川cmc
WH湖北卫视,rtp://239.93.0.250:5140$四川cmc
WH湖南卫视,rtp://239.93.0.88:5140$四川cmc
WJ吉林卫视,rtp://239.93.0.248:5140$四川cmc
WJ江苏卫视,rtp://239.93.0.89:5140$四川cmc
WJ江西卫视,rtp://239.93.0.134:5140$四川cmc
WL辽宁卫视,rtp://239.93.1.108:5140$四川cmc
WS山东卫视,rtp://239.93.0.168:5140$四川cmc
WS深圳卫视,rtp://239.93.0.182:5140$四川cmc
WS四川卫视,rtp://239.93.0.169:5140$四川cmc
WT天津卫视,rtp://239.93.0.167:5140$四川cmc
WY云南卫视,rtp://239.93.1.174:5140$四川cmc
WZ浙江卫视,rtp://239.93.0.124:5140$四川cmc
WC重庆卫视,rtp://239.93.1.107:5140$四川cmc
WS陕西卫视,rtp://239.93.0.143:5140$四川cmc
WN内蒙古卫视,rtp://239.93.0.8:5140$四川cmc
WN宁夏卫视,rtp://239.93.0.247:5140$四川cmc
WX西藏卫视,rtp://239.93.0.175:5140$四川cmc
WX新疆卫视,rtp://239.93.0.194:5140$四川cmc
WB兵团卫视,rtp://239.93.42.43:5140$四川cmc

Y北京纪实科教,rtp://239.93.0.141:5140$四川cmc
Y求索纪录,rtp://239.93.42.24:5140$四川cmc
Y纪实人文,rtp://239.93.1.137:5140$四川cmc
Y金鹰纪实,rtp://239.93.0.130:5140$四川cmc
Y都市剧场,rtp://239.93.42.30:5140$四川cmc
