CCTV1,rtp://239.5.1.4:5000$天津tel
CCTV2,rtp://239.5.1.5:5000$天津tel
CCTV3,rtp://239.5.1.101:5000$天津tel
CCTV4,rtp://239.5.1.6:5000$天津tel
CCTV5,rtp://239.5.1.102:5000$天津tel
CCTV5+,rtp://239.5.1.7:5000$天津tel
CCTV6,rtp://239.5.1.103:5000$天津tel
CCTV7,rtp://239.5.1.8:5000$天津tel
CCTV8,rtp://239.5.1.104:5000$天津tel
CCTV9,rtp://239.5.1.9:5000$天津tel
CCTV10,rtp://239.5.1.10:5000$天津tel
CCTV11,rtp://239.5.1.137:5000$天津tel
CCTV12,rtp://239.5.1.11:5000$天津tel
CCTV13,rtp://239.5.1.138:5000$天津tel
CCTV14,rtp://239.5.1.12:5000$天津tel
CCTV15,rtp://239.5.1.139:5000$天津tel
CCTV16,rtp://239.5.1.146:5000$天津tel
CCTV17,rtp://239.5.1.140:5000$天津tel
CETV5,rtp://239.5.1.144:5000$天津tel
WS三沙卫视,rtp://225.1.1.182:5002$天津tel
Z天津新闻,rtp://239.5.1.30:5000$天津tel
Z天津文艺,rtp://239.5.1.31:5000$天津tel
Z天津影视,rtp://239.5.1.2:5000$天津tel
Z天津都市,rtp://239.5.1.27:5000$天津tel
Z天津体育,rtp://239.5.1.3:5000$天津tel
Z天津教育,rtp://239.5.1.29:5000$天津tel
