CCTV1,rtp://239.253.248.77:8000$山东uni
CCTV2,rtp://239.253.248.234:8000$山东uni
CCTV3,rtp://239.253.248.191:8000$山东uni
CCTV4,rtp://239.253.248.111:8000$山东uni
CCTV5,rtp://239.253.248.192:8000$山东uni
CCTV5+,rtp://239.253.248.80:8000$山东uni
CCTV6,rtp://239.253.248.193:8000$山东uni
CCTV7,rtp://239.253.248.235:8000$山东uni
CCTV8,rtp://239.253.248.194:8000$山东uni
CCTV9,rtp://239.253.248.79:8000$山东uni
CCTV10,rtp://239.253.248.236:8000$山东uni
CCTV11,rtp://239.253.248.12:8000$山东uni
CCTV12,rtp://239.253.248.237:8000$山东uni
CCTV13,rtp://239.253.248.14:8000$山东uni
CCTV14,rtp://239.253.248.238:8000$山东uni
CCTV15,rtp://239.253.248.16:8000$山东uni
CCTV17,rtp://239.253.248.168:8000$山东uni
CETV1,rtp://239.253.248.110:8000$山东uni
CETV4,rtp://239.253.248.108:8000$山东uni
WA安徽卫视,rtp://239.253.248.87:8000$山东uni
WB北京卫视,rtp://239.253.248.85:8000$山东uni
WC重庆卫视,rtp://239.253.248.38:8000$山东uni
WD东方卫视,rtp://239.253.248.86:8000$山东uni
WD东南卫视,rtp://239.253.248.105:8000$山东uni
WG甘肃卫视,rtp://239.253.248.74:8000$山东uni
WG广东卫视,rtp://239.253.248.90:8000$山东uni
WG广西卫视,rtp://239.253.248.40:8000$山东uni
WG贵州卫视,rtp://239.253.248.113:8000$山东uni
WH海南卫视,rtp://239.253.248.35:8000$山东uni
WH河北卫视,rtp://239.253.248.112:8000$山东uni
WH河南卫视,rtp://239.253.248.44:8000$山东uni
WH黑龙江卫视,rtp://239.253.248.93:8000$山东uni
WH湖北卫视,rtp://239.253.248.88:8000$山东uni
WH湖南卫视,rtp://239.253.248.82:8000$山东uni
WJ吉林卫视,rtp://239.253.248.46:8000$山东uni
WJ江苏卫视,rtp://239.253.248.83:8000$山东uni
WJ江西卫视,rtp://239.253.248.47:8000$山东uni
WL辽宁卫视,rtp://239.253.248.92:8000$山东uni
WQ青海卫视,rtp://239.253.248.54:8000$山东uni
WS山东卫视,rtp://239.253.248.78:8000$山东uni
WS深圳卫视,rtp://239.253.248.91:8000$山东uni
WS四川卫视,rtp://239.253.248.50:8000$山东uni
WT天津卫视,rtp://239.253.248.89:8000$山东uni
WY云南卫视,rtp://239.253.248.42:8000$山东uni
WZ浙江卫视,rtp://239.253.248.84:8000$山东uni
WS陕西卫视,rtp://239.253.248.49:8000$山东uni
WS山西卫视,rtp://239.253.248.48:8000$山东uni
WN内蒙古卫视,rtp://239.253.248.58:8000$山东uni
WN宁夏卫视,rtp://239.253.248.53:8000$山东uni
WX西藏卫视,rtp://239.253.248.56:8000$山东uni
WX新疆卫视,rtp://239.253.248.60:8000$山东uni
WB兵团卫视,rtp://239.253.248.57:8000$山东uni
CHC家庭影院,rtp://239.253.248.152:8000$山东uni
CHC动作电影,rtp://239.253.248.153:8000$山东uni
CHC影迷电影,rtp://239.253.248.154:8000$山东uni
Y乐游,rtp://239.253.248.97:8000$山东uni
Y魅力足球,rtp://239.253.248.100:8000$山东uni
Y金色学堂,rtp://239.253.248.101:8000$山东uni
Y生活时尚,rtp://239.253.248.99:8000$山东uni
Y都市剧场,rtp://239.253.248.98:8000$山东uni
Y动漫秀场,rtp://239.253.248.115:8000$山东uni
Y卡酷少儿,rtp://239.253.248.61:8000$山东uni
Y金鹰卡通,rtp://239.253.248.62:8000$山东uni
