央视,#genre#
CCTV1,http://ha.xushining.com:50000/rtp/225.1.1.120:5002$天津uni1+
CCTV2,http://ha.xushining.com:50000/rtp/225.1.1.133:5002$天津uni1+
CCTV3,http://ha.xushining.com:50000/rtp/225.1.1.158:5002$天津uni1+
CCTV4,http://ha.xushining.com:50000/rtp/225.1.1.150:5002$天津uni1+
CCTV5,http://ha.xushining.com:50000/rtp/225.1.1.160:5002$天津uni1+
CCTV5+,http://ha.xushining.com:50000/rtp/225.1.1.121:5002$天津uni1+
CCTV6,http://ha.xushining.com:50000/rtp/225.1.1.195:5002$天津uni1+
CCTV7,http://ha.xushining.com:50000/rtp/225.1.1.138:5002$天津uni1+
CCTV8,http://ha.xushining.com:50000/rtp/225.1.1.196:5002$天津uni1+
CCTV9,http://ha.xushining.com:50000/rtp/225.1.1.119:5002$天津uni1+
CCTV10,http://ha.xushining.com:50000/rtp/225.1.1.140:5002$天津uni1+
CCTV11,http://ha.xushining.com:50000/rtp/225.1.2.192:5002$天津uni1+
CCTV12,http://ha.xushining.com:50000/rtp/225.1.1.142:5002$天津uni1+
CCTV13,http://ha.xushining.com:50000/rtp/225.1.2.193:5002$天津uni1+
CCTV14,http://ha.xushining.com:50000/rtp/225.1.1.144:5002$天津uni1+
CCTV15,http://ha.xushining.com:50000/rtp/225.1.2.194:5002$天津uni1+
CCTV16,http://ha.xushining.com:50000/rtp/225.1.2.237:5002$天津uni1+
CCTV17,http://ha.xushining.com:50000/rtp/225.1.2.52:5002$天津uni1+
CCTV4欧洲,http://coolcat.synology.me:4022/rtp/239.3.1.213:4220$北京uni1+
CCTV4美洲,http://coolcat.synology.me:4022/rtp/239.3.1.214:4220$北京uni1+
CETV1,http://coolcat.synology.me:4022/rtp/239.3.1.57:8152$北京uni1+
CETV4,http://example.com:0000/rtp/000.0.0.000:0000${province}uni1+
CETV5,http://ha.xushining.com:50000/rtp/225.1.2.207:5002$天津uni1+
CF风云足球,http://ha.xushining.com:50000/rtp/225.1.2.168:5002$天津uni1+
CF高尔夫网球,http://ha.xushining.com:50000/rtp/225.1.2.169:5002$天津uni1+
CF央视台球,http://ha.xushining.com:50000/rtp/225.1.2.170:5002$天津uni1+
CF第一剧场,http://ha.xushining.com:50000/rtp/225.1.2.175:5002$天津uni1+
CF风云剧场,http://ha.xushining.com:50000/rtp/225.1.2.174:5002$天津uni1+
CF怀旧剧场,http://ha.xushining.com:50000/rtp/225.1.2.173:5002$天津uni1+
CF世界地理,http://ha.xushining.com:50000/rtp/225.1.2.171:5002$天津uni1+
CF兵器科技,http://ha.xushining.com:50000/rtp/225.1.2.166:5002$天津uni1+
CF女性时尚,http://ha.xushining.com:50000/rtp/225.1.2.172:5002$天津uni1+
CF风云音乐,http://ha.xushining.com:50000/rtp/225.1.2.176:5002$天津uni1+
CF央视文化精品,http://ha.xushining.com:50000/rtp/225.1.2.177:5002$天津uni1+
CF电视指南,http://ha.xushining.com:50000/rtp/225.1.2.167:5002$天津uni1+

卫视,#genre#
WA安徽卫视,http://ha.xushining.com:50000/rtp/225.1.1.127:5002$天津uni1+
WB北京卫视,http://ha.xushining.com:50000/rtp/225.1.1.113:5002$天津uni1+
WC重庆卫视,http://ha.xushining.com:50000/rtp/225.1.1.155:5002$天津uni1+
WD东方卫视,http://ha.xushining.com:50000/rtp/225.1.2.31:5002$天津uni1+
WD东南卫视,http://coolcat.synology.me:4022/rtp/239.3.1.156:8148$北京uni1+
WG甘肃卫视,http://ha.xushining.com:50000/rtp/225.1.1.159:5002$天津uni1+
WG广东卫视,http://ha.xushining.com:50000/rtp/225.1.1.116:5002$天津uni1+
WG广西卫视,http://ha.xushining.com:50000/rtp/225.1.2.81:5002$天津uni1+
WG贵州卫视,http://ha.xushining.com:50000/rtp/225.1.2.28:5002$天津uni1+
WH海南卫视,http://ha.xushining.com:50000/rtp/225.1.2.82:5002$天津uni1+
WH河北卫视,http://ha.xushining.com:50000/rtp/225.1.2.27:5002$天津uni1+
WH河南卫视,http://ha.xushining.com:50000/rtp/225.1.2.61:5002$天津uni1+
WH黑龙江卫视,http://ha.xushining.com:50000/rtp/225.1.1.115:5002$天津uni1+
WH湖北卫视,http://ha.xushining.com:50000/rtp/225.1.1.147:5002$天津uni1+
WH湖南卫视,http://ha.xushining.com:50000/rtp/225.1.1.114:5002$天津uni1+
WJ吉林卫视,http://ha.xushining.com:50000/rtp/225.1.2.26:5002$天津uni1+
WJ江苏卫视,http://ha.xushining.com:50000/rtp/225.1.1.126:5002$天津uni1+
WJ江西卫视,http://ha.xushining.com:50000/rtp/225.1.2.29:5002$天津uni1+
WL辽宁卫视,http://ha.xushining.com:50000/rtp/225.1.1.154:5002$天津uni1+
WQ青海卫视,http://example.com:0000/rtp/000.0.0.000:0000${province}uni1+
WS三沙卫视,http://ha.xushining.com:50000/rtp/225.1.1.182:5002$天津uni1+
WS山东卫视,http://coolcat.synology.me:4022/rtp/239.3.1.209:8052$北京uni1+
WS深圳卫视,http://ha.xushining.com:50000/rtp/225.1.1.117:5002$天津uni1+
WS四川卫视,http://ha.xushining.com:50000/rtp/225.1.1.123:5002$天津uni1+
WT天津卫视,http://ha.xushining.com:50000/rtp/225.1.1.111:5002$天津uni1+
WY云南卫视,http://example.com:0000/rtp/000.0.0.000:0000${province}uni1+
WZ浙江卫视,http://ha.xushining.com:50000/rtp/225.1.1.112:5002$天津uni1+
WS陕西卫视,http://example.com:0000/rtp/000.0.0.000:0000${province}uni1+
WS山西卫视,http://ha.xushining.com:50000/rtp/225.1.1.50:5002$天津uni1+
WN内蒙古卫视,http://ha.xushining.com:50000/rtp/225.1.1.32:5002$天津uni1+
WN宁夏卫视,http://ha.xushining.com:50000/rtp/225.1.1.56:5002$天津uni1+
